web_scraper_order,web_scraper_start_url,date,open,high,low,close_close_price_adjusted_for_splits,adj_close_adjusted_close_price_adjusted_for_splits_and_dividend_andor_capital_gain_distributions,volume
"1767779644-178","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 20, 2025","585.00","610.00","585.00","595.00","586.80","6,200"
"1767779644-179","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 19, 2025","590.00","610.00","555.00","595.00","586.80","18,100"
"1767779644-180","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 18, 2025","585.00","610.00","545.00","590.00","581.87","20,300"
"1767779644-181","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 17, 2025","585.00","610.00","476.00","590.00","581.87","28,700"
"1767779644-182","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 14, 2025","585.00","600.00","585.00","595.00","586.80","13,800"
"1767779644-183","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 13, 2025","595.00","625.00","570.00","585.00","576.94","25,100"
"1767779644-184","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 12, 2025","600.00","600.00","590.00","590.00","581.87","700"
"1767779644-185","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 11, 2025","600.00","610.00","580.00","600.00","591.73","1,500"
"1767779644-186","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 10, 2025","620.00","625.00","580.00","605.00","596.66","21,100"
"1767779644-187","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 7, 2025","595.00","630.00","590.00","620.00","611.46","19,500"
"1767779644-188","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 6, 2025","595.00","625.00","580.00","600.00","591.73","18,400"
"1767779644-189","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 5, 2025","585.00","630.00","570.00","590.00","581.87","23,000"
"1767779644-190","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 4, 2025","585.00","625.00","585.00","590.00","581.87","26,900"
"1767779644-191","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Mar 3, 2025","570.00","610.00","565.00","590.00","581.87","22,600"
"1767779644-192","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 28, 2025","595.00","610.00","560.00","590.00","581.87","24,700"
"1767779644-193","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 27, 2025","590.00","590.00","585.00","585.00","576.94","13,200"
"1767779644-194","https://finance.yahoo.com/quote/AKPI.JK/history/?period1=1718582400&period2=1766016000","Feb 26, 2025","600.00","615.00","585.00","600.00","591.73","22,600"
